Date,Bitstamp,Coinbase,Gemini,Kraken
2019-03-01,3795.33,3791.69,3791.8,3790.5
2019-02-28,3788.8,3799.92,3790,3799.1
2019-02-27,3798.47,3799.48,3800,3796.2
2019-02-26,3795.06,3818.79,3799.99,3819.8
2019-02-25,3820.71,3734.22,3820.26,3732.2
2019-02-24,3730.68,4110,3732.48,4113.3
2019-02-23,4113.53,3942.02,4110.99,3940.5
2019-02-22,3939.82,3897.71,3946.56,3897.1
2019-02-21,3900.4,3938.99,3901.59,3942
2019-02-20,3936.53,3888.01,3941.16,3888.1
2019-02-19,3888.46,3867,3892.03,3870.7
2019-02-18,3869.8,3625.08,3866.99,3625.1
2019-02-17,3625.6,3582.37,3626.7,3580.1
2019-02-16,3579.92,3566.59,3582.3,3567.4
2019-02-15,3566.29,3561.5,3567.12,3562.3
2019-02-14,3560.46,3576.68,3562.29,3574
2019-02-13,3574.93,3588.06,3576.48,3588.9
2019-02-12,3585.94,3590.36,3588.61,3591.7
2019-02-11,3588.7,3648.85,3588.58,3647.1
2019-02-10,3650.37,3623.73,3647.21,3625.7
2019-02-09,3622.62,3622,3624.11,3622
2019-02-08,3622.94,3359,3622.59,3360.3
2019-02-07,3359.33,3367.36,3359.99,3367.4
2019-02-06,3364.62,3428.4,3366.83,3429.5
2019-02-05,3431.39,3409.57,3429.98,3413.9
2019-02-04,3410.87,3414.78,3411.47,3415.2
2019-02-03,3414.82,3468.43,3415.99,3466
2019-02-02,3462.82,3437.5,3469.06,3437.2
2019-02-01,3434.83,3411.49,3441.87,3409.6
2019-01-31,3413.11,3437.55,3412.1,3435.4
2019-01-30,3437.35,3397.42,3436.11,3395
2019-01-29,3390.5,3429.95,3395.49,3431
2019-01-28,3429.5,3531.01,3429.7,3533.4
2019-01-27,3533.23,3556.07,3529.63,3556.2
2019-01-26,3555.56,3562.18,3558.19,3560.1
2019-01-25,3560,3568.97,3561,3571.3
2019-01-24,3570.73,3553.01,3570.25,3556.1
2019-01-23,3552.32,3577.03,3553.02,3575.8
2019-01-22,3576.81,3531.76,3577.24,3533.4
2019-01-21,3531.51,3536.19,3532.25,3530.6
2019-01-20,3536.72,3682.65,3533.49,3683
2019-01-19,3681,3607.85,3687,3612.2
2019-01-18,3609.21,3640.65,3608,3644
2019-01-17,3638.01,3609.71,3641.4,3606.6
2019-01-16,3605.91,3580.76,3604.57,3587
2019-01-15,3576.93,3664.19,3583.47,3664.8
2019-01-14,3664.28,3514.24,3662.89,3512.6
2019-01-13,3515.95,3619.41,3514.08,3616.5
2019-01-12,3617.13,3635.69,3618.82,3635.1
2019-01-11,3632.02,3626.12,3637.28,3623.5
2019-01-10,3627.51,4004.12,3626.76,3999.9
2019-01-09,4002.13,3993.86,4000.67,3992.9
2019-01-08,3994.9,4006.01,3992.24,4005.3
2019-01-07,4005.45,4040.99,4007.47,4041.1
2019-01-06,4040.71,3798.62,4041.01,3796.6
2019-01-05,3791.84,3820.25,3797.41,3823.7
2019-01-04,3817.71,3787.57,3821.47,3786.5
2019-01-03,3787.81,3890.79,3786.91,3886.2
2019-01-02,3885.87,3826.09,3890.45,3820.1
2019-01-01,3823.44,3691.86,3823.63,3691.9
2018-12-31,3693.3,3829,3692.35,3832.4
2018-12-30,3835.79,3729.31,3826.96,3725
2018-12-29,3725.48,3888.06,3729.57,3890.5
2018-12-28,3884.97,3589.89,3889.2,3588.6
2018-12-27,3591.69,3809.88,3588.67,3808.2
2018-12-26,3810.01,3780,3808.85,3778.5
2018-12-25,3779.99,4034,3777.97,4033.6
2018-12-24,4036,3944.93,4036,3940.2
2018-12-23,3943.83,3980.46,3948.58,3981.3
2018-12-22,3980.9,3839.06,3979.35,3838.5
2018-12-21,3841.08,4075.34,3839.06,4074.4
2018-12-20,4073.77,3682.51,4077.29,3683.6
2018-12-19,3684.5,3667.77,3683.97,3669.1
2018-12-18,3667.16,3496.82,3667.82,3502
2018-12-17,3496.73,3195,3502.84,3189.7
2018-12-16,3193.78,3183,3193,3180.1
2018-12-15,3179.54,3195.71,3184.06,3194.9
2018-12-14,3195.75,3265,3195.43,3260
2018-12-13,3262.73,3430.24,3265.44,3435.2
2018-12-12,3430.18,3355.68,3431.89,3360.9
2018-12-11,3355.86,3410.15,3356.01,3408
2018-12-10,3408,3531.18,3411.6,3539.5
2018-12-09,3529.75,3401,3529.66,3396.9
2018-12-08,3398.8,3380.01,3394.5,3379.3
2018-12-07,3380.68,3433.26,3377.83,3435.5
2018-12-06,3437.26,3694.39,3436.54,3694.3
2018-12-05,3696.69,3901.84,3691.92,3904.7
2018-12-04,3903.52,3833.47,3903.94,3832.7
